index,additionalInformation,assesmentMethods,availableEnglish,cefrLevel,code,content,courseStatus,courseUnitId,credits,endDate,gradingScale,homepage,id,languageOfInstruction,languageOfInstructionCodes,learningOutcomes,level,literature,name,organizationId,prerequisities,registration,startDate,substitutes,teacherInCharge,teachers,teachingPeriod,type,workload
565,,"Exercises, group work, homework, short exams and excursion",True,,EEN-E2007,"Combustion and emission mechanisms in power generation and transport. Principles and practice of pollutant formation and control in combustion and gasification processes. Emissions and their reduction technologies: sulfur oxides, nitrogen oxides, particulate matter, unburned hydrocarbons, halogen, trace elements and greenhouse gases. Legislation related to emissions reduction. Solid waste treatment options. Waste to energy processes: pyrolysis, gasification, combustion processes.","Energy Technology, Advanced StudiesAdvanced Energy Solutions",1125462932,5,2018-12-04,0-5,,1133713788,English,['en'],"After the course, the student will be able to: Identify and understand the principles and practice of pollutant formation and control in different combustion (boiler, engine) and gasification processesApply and compare the flue gas cleaning systems for different combustion techniques; knows, understand, recognize and analyze the effects of flue gases on environmentKnow, identify and describe the emission limits regulation for different fuels (gas, liquid and solid) and perform and analyze flue gases calculations.Understand the definitions of solid waste types and the options of solid waste treatment, understands EU legislation and directives related to waste managements and evaluate emissions limits regulation and control for waste to energy plants  ",Master¿s studies,"Van Basshuysen, R., Schäfer, F., Internal Combustion Engine Handbook. SAE International, 2004, Chapter 21. Ron Zevenhoven, Pia Kilpinen: Control of pollutants in flue gases and fuel gases. Cooper-Alley, ¿Air Pollution Control: A Design Approach¿, Waveland Press, Fourth Edition, 2011. (ISBN 9781577666783) T. Williams ""Waste Treatment and Disposal"" John Wiley & Sons Ltd. 1998 ISBN 0-471-98166.","Energy, Environment and Emission Control",T212,ENY-C2001 Thermodynamics and Heat Transfer and CHEM-A1250 Principles of Chemistry or equivalent BSc level knowledge. Recommended courses EEN-E2002 Combustion Technology or EEN-E2005 Bioenergy I.,WebOodi,2018-10-29,"Ene-47.5122  Pollutant Formation and Control in Combustion, Kul-14.4700 Transport Biofuels, Combustion and Emission Control, Ene-47.4114 Waste to Energy",Mika Järvinen,"['Mika Järvinen', 'Loay Saeed']",II,course,"Lectures 24 h Exercises 12 h, Excursion 8 h, Group work 52 h, Homework 36 h, Short exams 1 h. = 133 h"
566,,Execution: Lectures + exercises + individual design assignment Assessment methods and criteria: Accepted design assignment,True,,EEN-E3001,Basics of the most common manufacturing processes in process industry.  Industrial power plants.  Industrial energy use and CO2-emissions.  Solutions to improve industrial energy efficiency. Thermochemical biorefineries.,"Energy Technology, Advanced Courses Advanced Energy Solutions",1125462980,5,2019-04-10,0-5,,1133713797,English,['en'],Students know the most important production processes of energy intensive industry. Students understand factors affecting energy consumption of industrial processes. Students know how to compare and improve energy efficiency of industrial processes. Students understand the role of an industrial power plant. Students can apply their knowledge to preliminary design of energy systems of industrial processes.,Master's studies,Virtual learning environment KnowPulp and KnowPap + other additional material,Fundamentals of Industrial Energy Engineering,T212,"Fundamentals of thermodynamics, especially energy and mass balances of a stationary flow system.",,2019-01-08,"Ene-59.4101, Teollisuuden energiatekniikan perusteet",Henrik Holmberg,['Henrik Holmberg'],III-IV,course,Lectures 22h (1x2h) Exercises 14h (1x2h) Individual studying 99h
567,,Obligatory simulation work or exercises reported and assessed. Examination.,True,,EEN-E3002,Different process simulation approaches. Creation of a process simulation model. Running the simulation model under various conditions.,"Energy Technology, Advanced Studies Advanced Energy Solutions  ",1125463068,5,2019-05-22,0-5,,1133713821,English,['en'],Students are able to use simulation software to model and calculate complex power plants processes. Students understand basic simulation concepts and their possibilities and restrictions.,Master's studies,Compendium and other additional material,Power Process Simulation,T212,Energy Technology Common studies,WebOodi,2019-02-27,Ene-59.4180  Teollisuuden energiatekniikan simulointiharjoitus or Kul-14.4400  Simulation of Internal Combustion Engines P,Mika Järvinen,['Mika Järvinen'],IV-V,course,Lectures 16h Excercises 8h Individual studying 110h
568,,Execution: Lectures + exercises Assessment methods and criteria: Exam. You must get 7.5/20 points in the exam to pass the course. You can get extra points by returning calculation problems. Extra points are taken into account since you have passed the exam.,True,,EEN-E3003,Water in porous material Drying and evaporation as a physical phenomena Means to affect heat and electricity consumptions of drying and evaporation processes The most common industrial dryers and evaporators Selection of dryers and evaporators for different industrial processes.,"Energy Technology, Advanced Studies Advanced Energy Solutions  ",1125463196,5,2019-04-12,0-5,,1133713826,English,['en'],Students understand physical phenomenon of drying and evaporation as well as the most common drying and evaporation processes. Students understand how to improve the energy efficiency of dryers and evaporators. Students are able to solve practical engineering problems related to drying and evaporation processes.,Master's studies,Compedium + other additional material Book: Mujumdar Arun S. Handbook of industrial drying Vol. 1,Industrial Drying and Evaporation Processes,T212,Energy and mass balances of stationary flow systems and thermodynamics of humid air,,2019-02-25,Ene-59.4130. Kuivatus- ja haihdutusprosessit teollisuudessa,Henrik Holmberg,['Henrik Holmberg'],IV,course,Lectures 24h (2x2h) Exercises 12h (1x2h) Individual studying 99h
569,,Execution :Lectures+ calculation exercises + four individual exercises Assessment methods and criteria: Four obligatory exercises and exam.,True,,EEN-E3004,"Use of district heating and cooling in buildings Technologies for heat transfer and distribution Technologies for heating stations and power plants Preplanning of district heating and cooling systems (e.g. estimation of consumption, planning of operation) Costs of district heating production and distribution","Energy Technology, Advanced Studies Advanced Energy Solutions",1125463393,5,2019-02-18,0-5,,1133713841,English,['en'],Students understand principle of district heating and cooling systems. Students understand cost mechanism of district heating and cooling systems. Students are able to preplan district heating and cooling systems.,Master's studies,Lecture notes under additional reading and exercise material,District Heating and Cooling,T212,Basics of thermodynamics and power plant processes,,2019-01-07,Ene-59.4160 District heating engineering,Risto Lahdelma,['Risto Lahdelma'],III,course,Lectures 28h Exercises 4h Individual studying 103h  
570,,Execution: Lectures + exercises + compulsory individual exercises Assessment methods and criteria: Exam and compulsory individual exercises,True,,EEN-E3007,Pinch analysis of energy systems Integration of energy system components Linear and mixed integer linear programming models Dynamic modelling Optimal configuration of energy processes,"Energy Technology, Advanced Studies Advanced Energy Solutions",1125469287,5,2018-12-11,0-5,,1133713877,English,['en'],Students understand how to apply process integration (especially pinch analysis) methods to improve the energy efficiency of industrial and municipal energy systems. Students identify problems in the energy technology which can be solved using optimization. Students understand the most important optimization methods (e.g. linear programming or dynamic optimization) and are able to apply these methods to optimization of energy systems.,Master's studies,Compendium + other additional material,Process Integration and Energy Optimization L,T212,Basics of thermodynamics and industrial and municipal energy processes,,2018-10-30,"Ene-59.4010 Models and optimization of enrgy systems Ene-47.5130 Process Integration, Simulation and Optimization",Risto Lahdelma,['Risto Lahdelma'],II,course,Lectures 20h Excersises 22h Individual studying 93h
571,,Exam 70 %Calculation exercises  20 %Quick test before lecture 10 % Scale 0-5; 40 % of the maximum points are required for grade 1,True,,EEN-E4001,Entity of Indoor Environment The demands of ventilations and ventilation efficiency Material emissions and micro organisms Thermal comfort Evaluation methods of indoor environment Air pollutions and air cleaning   Noise generation of ventilation systems,"Energy Technology, Advanced studies Advanced Energy Solutions",1125469318,5,2019-02-20,0-5,,1133713892,English,['en'],"- has a understand of entity of indoor environment and impact on health, perceived conditions and productivity  - can estimate the demand of outdoor air - can calculate the whole body thermal sensation and local thermal comfort - is aware of pollutants in room air and air cleaning technologies - is able to analyze  noise generation of ventilation system and acoustics in the room spaces - is able to use evaluation methods, standards and volunteer-based classification methods of indoor clim",Master's studies,Lecture notes and literature (to be specified later),Comfortable and Healthy Indoor Environments,T212,,WebOodi,2019-01-09,ENE-58.3102 Indoor Climate,Risto Kosonen,"['Heidi Salonen', 'Risto Kosonen']",III,course,"Contact hours (24 h): Lectures 12 hVisits in labs 2 hIn-class calculation exercises 10 h Independent work (109,5 h):   Calculation assignment 15hLiterature review 40 hPreparation for examination 51, hExam 3 h Total 133, 5 h"
572,,Learning assignments 100%,True,,EEN-E4002,Building¿s energy balanceCalculating the heat transfer coefficientsCalculating the thermal demandHeating and cooling systemsHeat distribution systemsSolar heat gainsCooling load calculationsUtilization of thermal mass Simulation exercise,"Energy Technology, Advanced Studies Advanced Energy Solutions",1125469376,5,2019-02-13,0-5,,1133713903,English,['en'],After passing the course the student knows the heating and cooling systems of a building and understands their operational principlesknows the heat conversion and distribution methods and the fundamentals of automatic controlcan calculate a building¿s heat demandcan calculate heat gains and cooling load caused by solar radiation understands the impact of thermal mass on the dynamic behavior of buildings,Master¿s studies,Lecture notes and literature (to be specified later),Heating and Cooling Systems,T212,,WebOodi,2019-01-09,Ene-58.3111 Space Heating Ene-58.4122 Advanced Air-Conditioning,Markku Virtanen,['Markku Virtanen'],III,course,Contact learning 12 h Learning assignments 60 h Other self-learning 48 h
573,,Learning assignments 100%,True,,EEN-E4003,Properties of air and water vapor mixturesConcepts of ventilation and air-conditioningVentilation and air-conditioning systemsChilled beam systemsRoom air-conditioning systemsDetermining supply air flow ratesVentilation effectivenessAir distributionAir-conditioning processesDuct sizing Automatic control of ventilation and air-conditioning systems,"Energy Technology, Advanced Studies Advanced Energy Solutions",1125473089,5,2019-04-03,0-5,,1133713907,English,['en'],After passing the course the student understands the concepts of ventilation and air-conditioningknows the most common ventilation and air-conditioning systems and their featurescan calculate the thermodynamic properties of moist aircan calculate air flow rates on the basis of given criteriaknows the ventilation ductwork sizing methods (e.g. static regain)can choose the supply air flow rate and temperature for a displacement ventilation systemcan calculate the unit processes and size the components of an air-conditioning systemcan analyze the operation of an air-conditioning system in practical problems can employ classical control algorithms in the control of air-handling processes,Master¿s studies,Lecture notes and literature (to be specified later),Ventilation and Air Conditioning Systems,T212,,WebOodi,2019-02-27,Ene-58.3113 Ventilation and Ene-58.4122 Advanced Air-Conditioning,Kari Alanne,['Kari Alanne'],IV,course,Contact learning 12 h Learning assignments 60 h Other self-learning 48 h
574,,Course assigment,True,,EEN-E4004,"- Design assignment of single family house where HVAC system is selected and dimensioned - Assignment covers the main design tasks of HVAC- consulter  - Sizing of HVAC system and main components: targets setting for indoor climate, calculation of outdoor airflow rate and heating power of room spaces, system selection and sizing of ductwork, heating pipes and sewage and domestic hot water systems    sizing of heating plant, air handling unit and control strategy integration of building system into public utilitiesdocumentation of HVAC system - Team work","Energy Technology, Advanced Studies Advanced Energy Solutions",1125473302,5,2019-05-22,0-5,,1133713912,English,['en'],"After passing the course the student - has preliminary readiness to design and size HVAC- systems for residential buildings - has a basic understanding of building codes for indoor climate and energy efficiency of residential buildings - has a basic understanding of heating, ventilation, water and sewage systems and their components - has understanding to set targets for indoor climate and energy efficiency - has understanding to calculate outdoor air flow rate and  heating power of room space - has understanding to size ventilation, heating, domestic hot water and sewage systems - has a basic understanding how building systems are integrated into community infrastructure",Master's studies,Lecture notes and literature (to be specified later),Fundamentals of HVAC Design,T212,EEN-E4001 Comfortable and healthy indoor environment EEN-E4002 Heating and cooling systems EEN-E4003 Ventilation and air conditioning system,WebOodi,2019-02-27,Ene-58.3127 Design of HVAC systems I,Risto Kosonen,"['Timo Svahn', 'Risto Kosonen']",IV-V,course,Contact hours 20 h Course assigment 80 h Other self-learning 34 h
575,,Learning assignments 100%,True,,EEN-E4005,"Components of building¿s energy balanceNet-zero energy buildings: terminology and definitionsGrid interaction and energy matchingSustainable building envelope componentsSustainable HVAC technologies (free cooling, high-temperature cooling, low-temperature heating, etc.)Advanced energy storage systemsTechnologies for renewable energy (solar PVT, wind, biomass, GSHP, mCHP etc.) Energy quality","Energy Technology, Advanced Studies Advanced Energy Solutions",1125473361,5,2019-05-28,0-5,,1133713920,English,['en'],"After passing the course the student knows the key energy consumers in the building¿s energy balanceknows the basic terminology and definitions related to (nearly) net-zero energy buildings, plus energy buildings and hybrid smart gridsunderstands the principles of on-site energy generation, grid interaction and energy matchingknows the key sustainable building envelope components, advanced energy storage and HVAC systemsknows the key technologies and systems for the utilization of renewable energy understands the relationship between the temperature of the heat source, exergy and the Carnot efficiency in the context of building energy systems (the concept of energy quality)",Master¿s studies,Lecture notes and literature (to be specified later),Sustainable Building Energy Systems,T212,EEN-E4002 Heating and cooling systems EEN-E4003 Ventilation and air-conditioning systems,WebOodi,2019-04-16,,Kari Alanne,['Kari Alanne'],V,course,Contact learning 12 h Learning assignments 60 h Other self-learning 48 h
576,,Course assigment,True,,EEN-E4006,"- Design assignment of commercial building where HVAC system is selected and dimensioned - Assignment is divided into predesign and detailed design phases where the relevant HVAC design tasks are conducted - Preliminary design phase: targets setting for indoor climate, system performance and energy demand.energy and peak load calculations for heating and cooling, system selection and        space demand for HVAC system - Detailed design phase: Sizing of air handling units, pipe and duct works and room systems.Control strategy Product selection Documents for contract offering and documents for building permit - Team work","Energy Technology, Advanced Studies Advanced Energy Solutions",1125473458,5,2018-12-11,0-5,,1133713925,English,['en'],"After passing the course the student - has preliminary readiness to design and size HVAC- system in computer aided design (CAD) environment - enables participants to use simple and advanced computational tools - has a basic understanding of building information modelling (BIM) - has understanding of construction and design processes and the tasks of HVAC consulter in different design phases in commercial buildings design - has a basic understanding of building codes and standards related with HVAC- design of commercial buildings - enables participants perform basic design documents - has a basic understanding of the design target setting, system selection, dimension of systems and product selection for non-residential buildings",Master's studies,Lecture notes and literature (to be specified later),Advanced HVAC Design,T212,EEN-E4004 Fundamentals of HVAC design,WebOodi,2018-09-11,Ene-58.4128 Design of HVAC systems II,Risto Kosonen,"['Timo Svahn', 'Risto Kosonen']",I-II,course,Contact hours 20 h Course assigment 80 h Other self-learning 34 h
577,,"Lectures, home exercises, course assignment. Assessment criteria: 50% course assignment, 50% exam.",True,,EEN-E4007,"Dynamic building energy simulation using the control volume principle and difference method for mathematical solution, basic principles and methodologies of investment calculations and especially building energy investments, some principles of optimisation methodologies, mainly focused on search algorithms and GA, combining simulation and optimisation, homework, teamwork.","Energy technology, Advanced Studies Advanced Energy Solutions",1125473595,5,2018-12-12,0 - 5,,1133713934,English,['en'],After passing the course the student -has a fundamental understanding of dynamic energy simulation principles -has a basic understanding of suitable optimisation methodologies -has preliminary readiness to do energy investment calculations in the building/HVAC sector -understands the potential of combined simulation and optimisation in planning -is able to take more advanced tools for combined simulation and optimisation into use -is able to independently search for more information on the topic and to exploit this information,Master's studies,"Course handouts, research paper.",Building Energy Optimisation,T212,EEN-E4002           Heating and cooling systems EEN-E4003           Ventilation and air conditioning systems,WebOodi,2018-09-12,Ene-58.4129 Rakennusten energiaoptimointi (Building energy optimization),Kari Alanne,['Kari Alanne'],I-II,course,Lectures/contact hours         20 Home exercises                    20 Course assignment               60 Course material                   10 Preparing for exam               20 Exam                                  3
578,,"Weights for the final course mark are: materials processing work/presentation 30 %, home work 30%, course assignment 40%.",True,,EEN-L5004,-Thermal modelling using finite difference method -Hydraulic models of networks -Modelling of contaminant penetration -Thermal and hydraulic models of components -Validation of models,Doctoral studies,1129549586,6,2019-05-21,0-5,,1133713659,English,['en'],"- has a basic understand of mathematical and physical modeling methodology of the building, its HVAC systems and technical components - has skills to use, modify and create of new models - has understanding of the evaluating the reliability of the simulation results",Doctoral studies,course handouts and literature,Theoretical Modelling of HVAC Systems L,T212,,,2019-01-08,Ene 58.5181,,['Risto Kosonen'],III-IV,course,
579,language class 3: English,"Assessment methods: The course consists of lectures, homework, learning diaries, peer assessment, and excursion.",True,,ELEC-A4930,"Basic astronomical concepts; influence of astronomy and space sciences to history, civil engineering, architecture and art, and to science and culture in general. For further studies the course ELEC-E4530 Radio astronomy is recommended.   ",Aalto course.,1113175005,3,2019-04-09,0-5,https://mycourses.aalto.fi/course/search.php?search=ELEC-A4930,1133748523,,['en'],"After the course the student can describe the physical background behind the basic celestial phenomena and knows how to take the movement of the Sun and the stars into account in engineering, design and architectural projects. The student recognises the astronomical nature of various historical and architecturally and otherwise significant constructions, ranging from the Stonehenge to sundials and modern observatories. She is able to describe the basics of the current scientific worldview and understands how it has been built over the millennia, and has basic knowledge of the interplay between astronomy and arts, as well as the influence on society and culture in general. ",Suitable for all students in Aalto University.,Online material provided during the course.,Astronomical View of the World,T411,,WebOodi,2019-01-08,,,['Joni Tammi'],III-IV 2018 - 2019 (spring)III-IV 2019 - 2020 (spring),course,"Lectures (30 h), assignments (32 h), and the learning diary (20 h)."
580,Language class 3: English,"Course material is online and course is mainly conducted as self study. In addition to smaller programming exercises, there is a programming project that is done in group. Assistance is available in exercise sessions in computer class. Assessment is based on the programming exercises and programming project.",True,,ELEC-A7151,Basic concepts of C++. Object oriented programming and generic programming in C++. C++ standard library. Tools for robust programming.,,1132698565,5,2018-12-14,0-5,https://mycourses.aalto.fi/course/search.php?search=ELEC-A7151,1133746327,English,['en'],The student knows the principles and concepts of the object oriented programming with C++ programming language. The student can produce programs in C++ language.,,"Summary of relevant content will be at course home page. Additional reading is highly recommended, for example:Lippman, Lajoie, Moo: C++ primer, 5th edition, Addison-Wesley, 2012.Stroustrup: The C++ programming language, 4th edition, Addison-Wesley, 2013",Object oriented programming with C++,T407,ELEC-A7100,WebOodi,2018-09-11,"ELEC-A7150, AS-0.3302",,['Pasi Sarolahti'],"I - II 2018-2019 (autumn), I - II 2019-2020 (autumn)",course,Contact teaching 4 - 40 hSelf study 90 - 126 h.
581,Language class 3: English,"Compulsory: Attending lectures, assignment, examination (5 cr). The detailed requirements will be given annually.",True,,ELEC-A7901,"Internet Forum is a studia generalia course hosted by the Department of Communication and Networking Technology (Comnet). The course handles hot topics in Internet and wireless information technology including global and national trends, product, business and technology strategies and covers issues from recent advances in research to the social, economic and legal impact of the application of the latest technology. The guest speakers are leaders in their fields, scientists, innovators, and business and technology officers in their companies.",,1125505348,3-5,2018-11-27,Pass/Fail or 0-5 (5 cr version),https://mycourses.aalto.fi/course/search.php?search=ELEC-A7901,1133746380,English.,['en'],The student can discuss the general strategy and policy issues of Internet and wireless information technology.,,"Lecture slides, course book (5 cr).",Internet Forum  P V,T407,,WebOodi,2018-09-18,ELEC-A7900,,[],"I - II 2018-2019 (fall), I - II 2019-2020 (fall)",course,"Contact hrs 23 hIndependent study 58 h (3 cr),Independent study 112 h (5 cr),"
582,Language class 3: English,"Exam, assignments",True,,ELEC-C7410,"Basic principles in Control and Automation, Estimation, Detection and Learning, Embedded Systems, Photonics and optical communications as well as Networking.",,1132699434,2,2018-12-10,0-5,https://mycourses.aalto.fi/course/search.php?search=ELEC-C7410,1133746434,English,['en'],"After taking this course, students will comprehend basic approaches and techniques in the fields of Control and Automation, Estimation, Detection and Learning, Embedded Systems, Photonics and optical communications as well as Networking. Students will comprehend and observe connections and interaction opportunities among these domains.",,,Introduction to digital systems and design,T407,-,WebOodi,2018-09-10,,,['Stephan Sigg'],"I - II 2018-2019 (autumn), I - II 2019-2020 (autumn)",course,Contact hrs 12 hIndividual study 41 h
583,Language class 3: English,"Exam, assignments",True,,ELEC-C7420,"This course provides a theoretical and practical basis for computer networking. Besides basic networking principles, the course provides case studies of network protocols at each layer of the OSI model. Examples include HTTP and TCP/IP for data center networking, 5G and 802.11.x for vehicular networking, Bluetooth and Bluetooth Low Energy for short-distance device-to-device communication, and symmetric and asymmetric encryption protocols and VPN for secure communications.",,1132699669,5,2019-04-03,0-5,https://mycourses.aalto.fi/course/search.php?search=ELEC-C7420,1133748703,English,['en'],"Students will be able to describe basic networking principles, understand the functionality of commonly used network protocols (e.g. TCP/IP, HTTP), and be aware of the challenges to be solved by future networking technology.",,,Basic principles in networking,T407,-,WebOodi,2019-01-07,,,"['Yu Xiao', 'Stephan Sigg']","III - IV 2018-2019 (Spring), III - IV 2019-2020 (Spring)",course,Contact hrs 27 hIndividual study 79 h
584,Language class 3: English,Successful completion of R&D SW development project.,True,,ELEC-C7430,Atlassian JIRA project management toolGithub SW repositoryAgile Sprint based R&D developmentC and Python programming,,1132699718,3,2019-05-21,0-5,https://mycourses.aalto.fi/course/search.php?search=ELEC-C7430,1133748707,English,['en'],"After finishing the course, students are able to plan and complete an R&D project following development and management processes used currently in industry. Students will further learn the tools to follow up R&D projects e.g. Atlassian JIRA, Github and Agile project development. The student will be in charge of small SW development projects related to 4G/5G mobile networks. This projects include setup and development of SW modules associated with mobile base station and mobile packet core configuration and operations.",,,Industrial training,T407,,WebOodi,2019-04-16,-,,['Jose Costa Requena'],"V 2018-2019 (Spring), V 2019-2020 (Spring)",course,Contact hrs 6 hIndividual study 75 h
585,language class 3: English,"Exercises, assignments on hands-on work, and exam.",True,,ELEC-C9600,"Short introduction to fundamental analysis methods and basic components used in electrical circuits, e.g., DC and AC analysis, transistors and operational amplifiers. Lab demonstrations.",ELEC major for Digital Systems and Design Bachelor Program,1132695033,5,2019-05-31,0-5,,1133748258,English,['en'],The student gets to know some fundamental analysis methods and basic components used in electrical circuits. The student finds a link between theory and practical measurements. The student can practise these skills in other courses to strengthen knowledge on electrical circuits.,Bachelor,,Electronic circuits,T411,,WebOodi,2019-02-25,,,"['Anu Lehtovuori', 'Katsuyuki Haneda', 'Jussi Ryynänen']",IV-V 2018 - 2019 (spring)IV-V 2019 - 2020 (spring),course,"Lectures, Exercises and Hands-on exercises about 60 hIndependent work 70 h: Reading material and independent assignmentsExam"
586,language class 3: English,"active participation in collaborative sessionscollaborative design process (rigour, management, documentation)collaborative design outcome (relevance, functioning, presentation) individual reflection (coverage, use of references)",True,,ELEC-C9800,"The course covers the topics of what is design, the design process, design methods, field studies, sense making, sketching, prototyping, and presenting.  Technical work in the course is supported with a programming course. The course activities include project work, lectures, tutoring, peer reviewing, and learning diary keeping.",Compulsory in the Digital Systems and Design BSc. major in ELEC.,1132695156,5,2018-12-04,0-5,,1133745985,Teaching and evaluation in English,['en'],"Knowledge After completing the course, the students are able to identify key differences and similarities between engineering and design work. They can also explain the key phases of design process with appropriate working methods and tools.   Experience After completing the course, the students will have an experience of completing a complete concept design project in a group. They have experience of conducting context studies, interpreting context study materials, generating concept alternatives, conducting user tests with a prototype, and presenting a design concept. They have also experience of writing reflective learning diary as well as participating in design critique.   Skills After completing the course, the students are able to conduct a basic concept design project for a simple electronic product in a group. They are able to present a design concept with contextually grounded arguments.",Bachelor,The study materials include tailored course literature and online media. Supplementary materials are announced during the course.,Design in engineering,T411,,Registration occurs through WebOodi.,2018-09-11,,,['Salu Ylirisku'],I-II 2018 - 2019 (autumn)I-II 2019 - 2020 (autumn),course,"Contact teaching 32.5 hours, attendance compulsory Teamwork 63 hours Independent work 40 hours"
587,language class 3: English,"active participation in collaborative sessionscollaborative design process (rigour, management, documentation)collaborative design outcome (relevance, functioning, presentation) individual reflection (coverage, use of references)",True,,ELEC-C9820,"The course covers technology prototyping with a high-level electronic platform, such as Arduino, including microcontroller programming, electronic circuit creation, sensors, actuators, rough modelling, 3D printing, and laser cutting. The course includes activities to contextualise, conceptualise and communicate design. Teaching and learning happens through project work, lectures, tutoring, and learning diary keeping.",Compulsory in the Digital Systems and Design BSc. major in ELEC,1132695260,5,2019-05-22,0-5,,1133748269,Teaching and evaluation in English,['en'],"Knowledge After completing the course, the students will be able to describe what activities are required for developing a design concept with functioning electronic prototype that features a microcontroller. They are able to outline what kinds of components are needed for creating a functioning electronic prototype. They will also be able to explain what kinds of tools are needed in the process.   Experience After completing the course, the students will have an experience of a real collaborative project in creating a functioning electronic prototype. They will also have an experience in contextually grounding the idea and evaluation of their prototype as well as in presenting their design concept with a functioning electronic prototype. Furthermore, the students will have experience in producing online documentation of their project as well as writing a personal reflective learning diary.   Skills After completing the course, the students are able to conduct a basic concept design project for creating electronic products by using a high-level prototyping platform, such as Arduino. They will also be able to support their process with techniques, such as 3D printing and laser cutting.",Bachelor,"The study materials comprise mainly of online resources, which are specified during the course.",Electronics and design workshop,T411,,Registration occurs through WebOodi.,2019-01-09,,,['Salu Ylirisku'],III-V 2018 - 2019 (spring)III-V 2019 - 2020 (spring),course,Contact teaching 57 hours Teamwork 60 hours Independent work 20.5 hours
588,Language class 4: English,"Exam, assignments",True,,ELEC-D7010,"Course contents cover theories and models of biomechanics, human performance, manual control, human error, and workload.",,1129365233,5,2019-05-29,0-5,https://mycourses.aalto.fi/course/search.php?search=ELEC-D7010,1133746661,English,['en'],"This course is designed to provide undergraduate students in all areas of engineering with a solid understanding of human factors relevant in the design and engineering of complex systems for human use. Course contents cover theories and models of biomechanics, human performance, manual control, human error, and workload.  Students learn how to design systems that increase productivity and that are safe to operate and robust to human error. They learn basics of empirical research in this space, including evaluation of systems and accident analysis. Application areas discussed in the course include automation, transportation, energy, manufacturing, networks, electronics, health, and information technology.",,"Wickens, C.D., Hollands, J.G., Banbury, S., and Parasuraman, R. Engineering Psychology and Human Performance (4th Edition)",Engineering for Humans,T407,,WebOodi,2019-04-16,,,['Antti Oulasvirta'],"V 2018-2019 (Spring), V 2019-2020 (Spring)",course,Contact hrs 27 hIndividual study 79 h
589,language class 3: English,"Lectures, Exercises and Midterm exams",True,,ELEC-D8710,"The principles of the properties and structures of materials. The periodic table of elements, primary and secondary bonds and microstructures. Physical and mechanical properties of materials and their response under different stress states. Entropy law, the free energy of a system and the activity of a component. Phase diagrams of pure elements and binary alloys. The principles of diffusion and Fick's laws.","Bachelor's programme in electrical engineering, major: bioinformation technology Master's Programme in Automation and Electrical Engineering",1121455867,5,2019-04-08,0-5,https://mycourses.aalto.fi/course/search.php?search=ELEC-D8710,1133749545,English,['en'],"After the course the student understands the hierarchical structure of inorganic materials, how the mocroscopic properties of materials can be derived on the basis of lower level properties. In additio, the student should understand and utilize the thermodynamic consepts and stability diagrams for solving materials scientific problems.  To know how the typical properties of different material groups and  based on this their different usages in electronic and medical technologies.  ",B. Sc./M.Sc. level,"Handouts.  For self-studying: Askeland, D. et al .""The science and engineering of materials"", Shackelford, J. ""Introduction to materials science for engineers"", Callister, ""Introduction to materials science and engineering",Principles of materials science,T410,,,2019-01-10,ELEC-C2100 Principles of Materials Science,,['Tomi Laurila'],"III - IV (Spring 2019), III - IV (Spring 2020)",course,"Lectures, Exercises and Midterm exams 56h Independent work 74h  "
590,"Language class 4: English, may be completed in Finnish or Swedish upon request. Students of other master's programmes or exchange students can't take this course.        ","Course consists of lectures, workshops, exercises and mentor meetings. Course is graded pass/fail. Attendance/submission of exercises is compulsory in all sections.  ",True,,ELEC-E0110,"The course consists of three themes which aim at enhancing students' academic capabilities: study skills, study planning and orientation towards master's thesis.",Compulsory in the Master's Programmes of the School of Electrical Engineering.,1132690871,3,2019-05-31,Pass/Fail  ,https://mycourses.aalto.fi/course/search.php?search=ELEC-E0110,1133749009,English.  ,['en'],"This course equipes you for systematical and well-planned master's studies. After the course you will be able to Reflect and identify your strengths and development needs in academic skills tms. such as study methods, self-leadership techniques. Develop your own academic skills based on your own reflection.Map and analyse interests and motivation factors for creating and maintaining a meaningful and motivational study plan (and later a career plan).Plan and make justified choices for reaching the study-related goals and career opportunities.Recognize the main steps of the master's thesis process and plan the process further.",Master's level,,Academic skills in master's studies,T400,-,In webOodi,2018-09-10,"ELEC¿E0100, ELEC¿E4111, ELEC-E4110",,"['Jenni Tulensalo', 'Eeva Halonen', 'Keijo Nikoskinen', 'Annika Salama']","I - V 2018-2019 (Autumn - Spring), I - V 2019-2020 (Autumn - Spring)",course,Contact hours 15 hIndividual learning 66 h  
